,Degrees,Time,Speed,Energycons,EProp,E_Aux,HVAC,Power,Regen,SoC,city,weather_Winter
0,0.0,0.0,0.0,0.0,0.0,5.35,5.2501,10.6,0.0,100.0,Portland,0
1,20.0,5.3291e-15,4.7646e-15,300850000000000.0,2.9402e-13,5.26,5.25,10.51,0.0,100.0,Portland,0
2,20.1,2.0117e-07,1.7986e-07,27987000000.0,1.1099e-05,5.26,5.25,10.51,0.0,100.0,Portland,0
3,20.2,0.0288,0.025749,243900.0,1.589,5.26,5.25,12.099,0.0,100.0,Portland,0
4,0.1,6.7112,6.0003,18122.0,83.595,5.26,5.25,94.105,0.0,99.877,Portland,0
5,0.2,8.5,7.5997,12917.0,106.17,5.26,5.25,116.68,0.0,99.86,Portland,0
6,0.3,10.207,8.9408,10118.0,11.279,5.26,5.25,21.789,0.0,99.841,Portland,0
7,0.4,16.0,8.9408,5146.4,11.279,5.26,5.25,21.789,0.0,99.83,Portland,0
8,0.5,21.153,8.9408,3720.5,11.279,5.26,5.25,21.789,0.0,99.819,Portland,0
9,0.6,28.0,8.9408,2814.5,11.279,5.26,5.25,21.789,0.0,99.805,Portland,0
10,0.7,35.616,0.0,2605.2,0.0,5.35,5.2501,10.6,0.0,99.794,Portland,0
11,20.3,40.278,0.24867,2665.9,15.345,5.26,5.25,25.855,0.0,99.79,Portland,0
12,0.8,46.717,6.0058,3883.3,83.672,5.26,5.25,94.182,0.0,99.667,Portland,0
13,0.9,49.903,8.8536,3916.5,124.02,5.26,5.25,134.53,0.0,99.633,Portland,0
14,0.1,52.239,8.9408,3700.5,11.279,5.26,5.25,21.789,0.0,99.627,Portland,0
15,0.11,62.239,8.9408,3004.8,11.279,5.26,5.25,21.789,0.0,99.607,Portland,0
16,0.12,72.0,3.1293,2621.1,3.5564,5.26,5.25,3.5771,-10.489,99.588,Portland,0
17,20.4,80.0,8.1316e-13,2660.3,5.0179e-11,5.26,5.25,10.51,0.0,99.58,Portland,0
18,0.13,86.711,6.0,3297.0,83.597,5.26,5.25,94.107,0.0,99.457,Portland,0
19,0.14,88.244,7.3709,3317.8,102.93,5.26,5.25,113.44,0.0,99.442,Portland,0
20,0.15,90.56,8.9408,3317.9,11.279,5.26,5.25,21.789,0.0,99.421,Portland,0
21,0.16,99.0,8.9408,2982.4,11.279,5.26,5.25,21.789,0.0,99.403,Portland,0
22,0.17,109.0,8.9408,2680.8,11.279,5.26,5.25,21.789,0.0,99.383,Portland,0
23,0.18,116.12,0.0,2644.1,0.0,5.35,5.2501,10.6,0.0,99.374,Portland,0
24,20.5,121.1,0.9828,2676.1,60.649,5.26,5.25,71.159,0.0,99.366,Portland,0
25,20.6,126.16,5.5031,3026.0,339.89,5.26,5.25,350.4,0.0,99.266,Portland,0
26,0.19,126.89,6.1583,3092.6,85.817,5.26,5.25,96.327,0.0,99.246,Portland,0
27,0.2,130.02,8.9408,3129.0,11.279,5.26,5.25,21.789,0.0,99.212,Portland,0
28,0.21,134.2,8.9408,3012.4,11.279,5.26,5.25,21.789,0.0,99.203,Portland,0
29,0.22,139.81,8.9408,2872.2,11.279,5.26,5.25,21.789,0.0,99.192,Portland,0
30,0.23,146.13,8.9408,2733.0,11.279,5.26,5.25,21.789,0.0,99.179,Portland,0
31,0.24,152.76,1.4303,2638.4,1.6058,5.26,5.25,6.0642,-6.0516,99.167,Portland,0
32,20.7,160.04,0.03384,2659.4,2.0883,5.26,5.25,12.598,0.0,99.16,Portland,0
33,20.8,165.67,5.0719,2895.6,313.22,5.26,5.25,323.73,0.0,99.071,Portland,0
