,Degrees,Time,Speed,Energycons,EProp,E_Aux,HVAC,Power,Regen,SoC,city,weather_Winter
0,0.0,0.0,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
1,0.1,4.4742,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.996,Seattle,0
2,20.0,10.373,0.032439,23479000.0,1.795,5.26,4.25,11.305,0.0,99.991,Seattle,0
3,0.2,11.62,0.22352,212580.0,0.25015,5.26,4.25,9.7601,0.0,99.989,Seattle,0
4,20.1,13.001,1.1193,53310.0,76.21,5.26,4.25,85.72,0.0,99.984,Seattle,0
5,20.2,14.907,3.001,25030.0,185.24,5.26,4.25,194.75,0.0,99.959,Seattle,0
6,20.3,16.663,5.7342,22045.0,354.19,5.26,4.25,363.7,0.0,99.906,Seattle,0
7,0.3,17.804,6.4413,17151.0,89.801,5.26,4.25,99.311,0.0,99.887,Seattle,0
8,0.4,19.601,8.4507,12308.0,172.13,5.26,4.25,181.64,0.0,99.864,Seattle,0
9,0.5,20.908,9.209,9837.6,11.698,5.26,4.25,21.208,0.0,99.852,Seattle,0
10,0.6,22.307,9.3908,7880.8,71.844,5.26,4.25,81.354,0.0,99.847,Seattle,0
11,0.7,23.3,9.7008,7034.4,136.15,5.26,4.25,145.66,0.0,99.841,Seattle,0
12,0.8,24.8,10.684,6309.7,14.131,5.26,4.25,23.641,0.0,99.824,Seattle,0
13,0.9,26.103,10.863,5562.3,14.442,5.26,4.25,23.952,0.0,99.819,Seattle,0
14,0.1,30.8,7.9126,3956.1,9.7377,5.26,4.25,0.0,-19.48,99.809,Seattle,0
15,0.11,36.326,1.3295,3538.1,1.4919,5.26,4.25,10.041,-0.96079,99.802,Seattle,0
16,0.12,42.526,0.0,3599.4,0.0,5.35,4.2501,9.6001,0.0,99.796,Seattle,0
17,0.13,48.774,0.0,3698.4,0.0,5.35,4.2501,9.6001,0.0,99.79,Seattle,0
18,0.14,55.026,0.0,3797.4,0.0,5.35,4.2501,9.6001,0.0,99.785,Seattle,0
19,20.4,60.433,1.0719,3934.2,72.981,5.26,4.25,82.491,0.0,99.776,Seattle,0
20,20.5,62.605,2.9974,4313.6,165.91,5.26,4.25,175.42,0.0,99.748,Seattle,0
21,20.6,64.221,3.4515,4470.5,191.06,5.26,4.25,200.57,0.0,99.731,Seattle,0
22,20.7,65.35,3.6881,4551.2,204.17,5.26,4.25,213.68,0.0,99.72,Seattle,0
23,20.8,66.618,4.076,4728.3,225.67,5.26,4.25,235.18,0.0,99.701,Seattle,0
24,0.15,68.216,5.0963,5139.0,5.9389,5.26,4.25,15.449,0.0,99.662,Seattle,0
25,0.16,70.203,5.1841,5039.5,6.0496,5.26,4.25,11.845,-3.7146,99.652,Seattle,0
26,20.9,72.71,4.7879,4908.1,265.13,5.26,4.25,274.64,0.0,99.641,Seattle,0
27,20.1,73.623,5.0171,4996.9,277.84,5.26,4.25,287.35,0.0,99.627,Seattle,0
28,0.17,74.695,5.2304,5057.9,6.1081,5.26,4.25,15.618,0.0,99.613,Seattle,0
29,0.18,75.613,5.4539,5141.9,6.3923,5.26,4.25,15.902,0.0,99.598,Seattle,0
30,0.19,78.3,5.0963,5021.4,5.9389,5.26,4.25,11.796,-3.6527,99.583,Seattle,0
31,0.2,80.424,5.1857,4936.0,6.0516,5.26,4.25,15.562,0.0,99.572,Seattle,0
32,0.21,81.214,5.3584,4992.0,6.2706,5.26,4.25,11.944,-3.837,99.56,Seattle,0
33,20.11,84.378,5.0415,4830.6,279.2,5.26,4.25,288.71,0.0,99.548,Seattle,0
34,20.12,86.105,5.6821,5104.0,350.96,5.26,4.25,360.47,0.0,99.507,Seattle,0
35,0.22,87.218,5.8927,5129.7,6.9589,5.26,4.25,12.258,-4.2109,99.493,Seattle,0
36,0.23,92.75,0.24587,4914.0,0.27517,5.26,4.25,9.6074,-0.17779,99.487,Seattle,0
37,0.24,98.8,0.0,4964.1,0.0,5.35,4.2501,9.6001,0.0,99.481,Seattle,0
38,0.25,105.05,0.0,5017.8,0.0,5.35,4.2501,9.6001,0.0,99.475,Seattle,0
39,0.26,111.3,0.0,5071.5,0.0,5.35,4.2501,9.6001,0.0,99.47,Seattle,0
40,20.13,115.5,1.8776,5187.8,115.87,5.26,4.25,125.38,0.0,99.454,Seattle,0
41,20.14,118.4,5.3225,5627.6,396.57,5.26,4.25,406.08,0.0,99.389,Seattle,0
42,0.27,119.6,6.9334,5736.2,140.94,5.26,4.25,150.45,0.0,99.362,Seattle,0
43,0.28,121.42,8.1917,5640.6,62.363,5.26,4.25,71.873,0.0,99.346,Seattle,0
44,0.29,123.32,9.6264,5549.8,135.08,5.26,4.25,144.59,0.0,99.326,Seattle,0
45,0.3,124.6,10.327,5453.6,79.344,5.26,4.25,88.854,0.0,99.314,Seattle,0
46,0.31,125.6,10.55,5346.0,13.9,5.26,4.25,23.41,0.0,99.308,Seattle,0
47,0.32,128.65,8.8067,5010.7,11.073,5.26,4.25,6.6578,-13.925,99.301,Seattle,0
48,0.33,134.3,2.5928,4688.4,2.9325,5.26,4.25,8.2978,-4.1448,99.292,Seattle,0
49,0.34,140.5,0.0,4684.2,0.0,5.35,4.2501,9.6001,0.0,99.286,Seattle,0
50,0.35,146.75,0.0,4721.0,0.0,5.35,4.2501,9.6001,0.0,99.28,Seattle,0
51,0.36,153.0,0.0,4757.8,0.0,5.35,4.2501,9.6001,0.0,99.275,Seattle,0
52,20.15,158.74,0.39058,4794.4,24.102,5.26,4.25,33.612,0.0,99.269,Seattle,0
53,20.16,160.93,2.0687,4877.8,114.49,5.26,4.25,124.0,0.0,99.252,Seattle,0
54,20.17,163.52,4.1797,5102.1,258.06,5.26,4.25,267.57,0.0,99.203,Seattle,0
55,20.18,165.02,5.1126,5273.4,315.73,5.26,4.25,325.24,0.0,99.164,Seattle,0
56,0.37,168.3,5.1857,5163.4,6.0516,5.26,4.25,11.844,-3.7179,99.152,Seattle,0
57,20.19,170.56,5.1681,5103.6,286.22,5.26,4.25,295.73,0.0,99.142,Seattle,0
58,0.38,172.7,4.6045,5048.3,5.3267,5.26,4.25,3.4538,-11.383,99.132,Seattle,0
59,20.2,177.3,1.6988,5017.0,94.009,5.26,4.25,103.52,0.0,99.12,Seattle,0
60,0.39,180.82,1.2757,5078.3,1.4312,5.26,4.25,8.9004,-2.0408,99.096,Seattle,0
61,20.21,184.09,0.79953,5088.2,44.243,5.26,4.25,53.753,0.0,99.091,Seattle,0
62,20.22,186.03,2.0352,5153.7,125.61,5.26,4.25,135.12,0.0,99.074,Seattle,0
