,Degrees,Time,Speed,Energycons,EProp,E_Aux,HVAC,Power,Regen,SoC,city,weather_Winter
0,0.0,0.0,0.0,0.0,0.0,5.35,18.0,23.35,0.0,100.0,Phoenix,0
1,0.1,2.3318,0.0,0.0,0.0,5.35,18.0,23.35,0.0,99.995,Phoenix,0
2,0.2,7.9751,0.0,0.0,0.0,5.35,18.0,23.35,0.0,99.983,Phoenix,0
3,0.3,14.225,0.0,0.0,0.0,5.35,18.0,23.35,0.0,99.969,Phoenix,0
4,20.0,16.7,3.6664,57030.0,273.08,5.26,18.0,296.34,0.0,99.94,Phoenix,0
5,0.4,18.252,4.8046,28330.0,5.5743,5.26,18.0,25.387,-3.4471,99.904,Phoenix,0
6,0.5,22.3,4.0681,11520.0,4.6723,5.26,18.0,27.932,0.0,99.891,Phoenix,0
7,20.1,23.59,4.5506,11380.0,280.98,5.26,18.0,304.24,0.0,99.872,Phoenix,0
8,0.6,25.028,5.6202,12492.0,6.6056,5.26,18.0,25.845,-4.0205,99.828,Phoenix,0
9,0.7,31.025,0.0,9876.4,0.0,5.35,18.0,23.35,0.0,99.814,Phoenix,0
10,0.8,37.275,0.0,10600.0,0.0,5.35,18.0,23.35,0.0,99.8,Phoenix,0
11,0.9,43.525,0.0,11324.0,0.0,5.35,18.0,23.35,0.0,99.786,Phoenix,0
12,0.1,49.775,0.0,12047.0,0.0,5.35,18.0,23.35,0.0,99.773,Phoenix,0
13,0.11,56.025,0.0,12771.0,0.0,5.35,18.0,23.35,0.0,99.759,Phoenix,0
14,20.2,60.85,1.8105,13448.0,146.36,5.26,18.0,169.62,0.0,99.743,Phoenix,0
15,20.3,62.613,5.7558,14578.0,502.28,5.26,18.0,525.54,0.0,99.689,Phoenix,0
16,0.12,63.85,6.9962,13586.0,53.035,5.26,18.0,76.295,0.0,99.672,Phoenix,0
17,0.13,67.301,6.0802,10703.0,45.961,5.26,18.0,69.221,0.0,99.66,Phoenix,0
18,0.14,69.93,7.0632,9480.6,8.5322,5.26,18.0,31.792,0.0,99.642,Phoenix,0
19,0.15,73.813,6.1692,7991.6,7.3221,5.26,18.0,30.582,0.0,99.63,Phoenix,0
20,0.16,75.233,8.1798,7922.8,166.55,5.26,18.0,189.81,0.0,99.607,Phoenix,0
21,0.17,77.006,10.739,7796.3,288.04,5.26,18.0,311.3,0.0,99.568,Phoenix,0
22,0.18,78.15,12.495,7735.8,256.39,5.26,18.0,279.65,0.0,99.537,Phoenix,0
23,0.19,79.345,13.521,7454.7,105.72,5.26,18.0,128.98,0.0,99.515,Phoenix,0
24,0.2,83.006,11.984,6201.4,92.864,5.26,18.0,116.12,0.0,99.496,Phoenix,0
25,0.21,84.226,12.752,6037.1,99.254,5.26,18.0,122.51,0.0,99.478,Phoenix,0
26,0.22,85.318,13.285,5867.3,103.73,5.26,18.0,126.99,0.0,99.465,Phoenix,0
27,0.23,88.274,11.423,5289.8,15.44,5.26,18.0,20.787,-17.913,99.451,Phoenix,0
28,0.24,94.274,3.1526,4788.3,3.5838,5.26,18.0,21.807,-5.0372,99.433,Phoenix,0
29,0.25,100.47,0.0,4836.7,0.0,5.35,18.0,23.35,0.0,99.419,Phoenix,0
30,0.26,106.73,0.0,4950.4,0.0,5.35,18.0,23.35,0.0,99.405,Phoenix,0
31,0.27,112.97,0.0,5064.0,0.0,5.35,18.0,23.35,0.0,99.392,Phoenix,0
32,0.28,119.23,0.0,5177.7,0.0,5.35,18.0,23.35,0.0,99.378,Phoenix,0
33,0.29,125.47,0.0,5291.3,0.0,5.35,18.0,23.35,0.0,99.364,Phoenix,0
34,0.3,131.73,0.0,5405.0,0.0,5.35,18.0,23.35,0.0,99.351,Phoenix,0
35,0.31,137.97,0.0,5518.6,0.0,5.35,18.0,23.35,0.0,99.337,Phoenix,0
36,0.32,144.23,0.0,5632.3,0.0,5.35,18.0,23.35,0.0,99.324,Phoenix,0
37,0.33,150.47,0.0,5745.9,0.0,5.35,18.0,23.35,0.0,99.31,Phoenix,0
38,0.34,156.73,0.0,5859.6,0.0,5.35,18.0,23.35,0.0,99.296,Phoenix,0
39,0.35,162.97,0.0,5973.2,0.0,5.35,18.0,23.35,0.0,99.283,Phoenix,0
40,20.4,166.75,3.764,6189.8,280.36,5.26,18.0,303.62,0.0,99.25,Phoenix,0
41,0.36,168.02,4.9174,6378.6,5.7148,5.26,18.0,28.975,0.0,99.215,Phoenix,0
42,0.37,172.58,1.2964,6205.5,1.4546,5.26,18.0,24.715,0.0,99.203,Phoenix,0
43,0.38,178.7,0.0,6291.4,0.0,5.35,18.0,23.35,0.0,99.189,Phoenix,0
44,0.39,184.95,0.0,6397.4,0.0,5.35,18.0,23.35,0.0,99.176,Phoenix,0
45,0.4,191.2,0.0,6503.3,0.0,5.35,18.0,23.35,0.0,99.162,Phoenix,0
46,0.41,197.45,0.0,6609.3,0.0,5.35,18.0,23.35,0.0,99.149,Phoenix,0
47,0.42,203.7,0.0,6715.2,0.0,5.35,18.0,23.35,0.0,99.135,Phoenix,0
48,0.43,209.95,0.0,6821.2,0.0,5.35,18.0,23.35,0.0,99.121,Phoenix,0
49,20.5,212.7,5.8562,7177.7,473.73,5.26,18.0,496.99,0.0,99.056,Phoenix,0
50,0.44,214.97,6.4374,7023.0,7.6792,5.26,18.0,30.939,0.0,99.042,Phoenix,0
51,0.45,218.1,6.2607,6775.8,47.351,5.26,18.0,70.611,0.0,99.031,Phoenix,0
52,0.46,219.34,6.8397,6709.6,8.2243,5.26,18.0,31.484,0.0,99.022,Phoenix,0
53,0.47,225.02,1.3411,6411.3,1.5051,5.26,18.0,24.765,0.0,99.007,Phoenix,0
54,0.48,231.0,0.0,6465.5,0.0,5.35,18.0,23.35,0.0,98.994,Phoenix,0
55,20.6,234.3,3.3561,6605.4,228.56,5.26,18.0,251.82,0.0,98.965,Phoenix,0
56,20.7,235.71,4.5212,6675.5,250.34,5.26,18.0,273.6,0.0,98.941,Phoenix,0
57,0.49,239.7,2.0117,6581.9,2.2657,5.26,18.0,25.526,0.0,98.929,Phoenix,0
58,20.8,241.6,2.9513,6661.3,200.98,5.26,18.0,224.24,0.0,98.906,Phoenix,0
59,0.5,243.0,4.1128,6783.6,4.7264,5.26,18.0,27.986,0.0,98.875,Phoenix,0
60,0.51,246.83,1.4176,6684.0,1.5914,5.26,18.0,23.827,-1.0244,98.865,Phoenix,0
61,0.52,252.9,0.0,6739.2,0.0,5.35,18.0,23.35,0.0,98.852,Phoenix,0
62,0.53,259.15,0.0,6819.3,0.0,5.35,18.0,23.35,0.0,98.838,Phoenix,0
63,0.54,265.4,0.0,6899.4,0.0,5.35,18.0,23.35,0.0,98.824,Phoenix,0
64,0.55,271.65,0.0,6979.5,0.0,5.35,18.0,23.35,0.0,98.811,Phoenix,0
65,0.56,277.9,0.0,7059.6,0.0,5.35,18.0,23.35,0.0,98.797,Phoenix,0
66,0.57,284.15,0.0,7139.7,0.0,5.35,18.0,23.35,0.0,98.783,Phoenix,0
67,20.9,287.1,4.5217,7316.8,394.49,5.26,18.0,417.75,0.0,98.741,Phoenix,0
68,0.58,288.21,6.7093,7419.1,50.813,5.26,18.0,74.073,0.0,98.708,Phoenix,0
69,0.59,291.45,6.1244,7187.1,7.263,5.26,18.0,30.523,0.0,98.697,Phoenix,0
70,0.6,292.81,6.3927,7109.0,7.6194,5.26,18.0,30.879,0.0,98.691,Phoenix,0
71,0.61,294.05,7.0409,7054.2,8.5013,5.26,18.0,26.756,-5.0057,98.681,Phoenix,0
72,0.62,299.8,0.44704,6880.7,0.50041,5.26,18.0,22.653,-1.1074,98.667,Phoenix,0
73,0.63,305.8,0.0,6945.9,0.0,5.35,18.0,23.35,0.0,98.654,Phoenix,0
74,0.64,312.05,0.0,7016.4,0.0,5.35,18.0,23.35,0.0,98.64,Phoenix,0
75,0.65,318.3,0.0,7086.8,0.0,5.35,18.0,23.35,0.0,98.626,Phoenix,0
76,0.66,324.55,0.0,7157.2,0.0,5.35,18.0,23.35,0.0,98.613,Phoenix,0
77,20.1,330.37,0.78278,7226.6,63.274,5.26,18.0,86.534,0.0,98.599,Phoenix,0
78,20.11,332.57,5.8559,7442.7,511.03,5.26,18.0,534.29,0.0,98.539,Phoenix,0
79,0.67,333.7,7.2421,7429.1,54.945,5.26,18.0,78.205,0.0,98.522,Phoenix,0
