,Degrees,Time,Speed,Energycons,EProp,E_Aux,HVAC,Power,Regen,SoC,city,weather_Winter
0,0.0,0.0,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
1,0.1,3.8897e-05,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
2,0.2,0.55586,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
3,0.3,5.5,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.995,Seattle,0
4,20.0,8.1476,0.027704,10641000.0,1.4306,5.26,4.25,10.941,0.0,99.993,Seattle,0
5,0.4,10.006,0.19099,107220.0,0.21374,5.26,4.25,9.6811,-0.042622,99.99,Seattle,0
6,0.5,11.639,0.0,92056.0,0.0,5.35,4.2501,9.6001,0.0,99.988,Seattle,0
7,0.6,20.751,0.0,156100.0,0.0,5.35,4.2501,9.6001,0.0,99.98,Seattle,0
8,0.7,30.751,0.0,226390.0,0.0,5.35,4.2501,9.6001,0.0,99.971,Seattle,0
9,0.8,40.751,0.0,296680.0,0.0,5.35,4.2501,9.6001,0.0,99.962,Seattle,0
10,0.9,50.751,0.0,366960.0,0.0,5.35,4.2501,9.6001,0.0,99.953,Seattle,0
11,20.1,55.017,0.29761,287220.0,15.216,5.26,4.25,24.726,0.0,99.949,Seattle,0
12,0.1,56.188,0.36567,165490.0,0.40928,5.26,4.25,9.6645,-0.25479,99.946,Seattle,0
13,20.2,59.022,0.26451,134540.0,14.62,5.26,4.25,24.13,0.0,99.943,Seattle,0
14,0.11,60.3,0.54171,94113.0,0.60647,5.26,4.25,9.6488,-0.4677,99.939,Seattle,0
15,0.12,63.008,0.40793,77265.0,0.45661,5.26,4.25,9.7003,-0.26634,99.935,Seattle,0
16,0.13,66.241,0.0,74707.0,0.0,5.35,4.2501,9.6001,0.0,99.933,Seattle,0
17,20.3,73.694,0.20179,80336.0,10.716,5.26,4.25,20.226,0.0,99.925,Seattle,0
18,20.4,75.64,0.72191,66565.0,39.763,5.26,4.25,49.273,0.0,99.92,Seattle,0
19,20.5,77.0,0.60797,53511.0,38.913,5.26,4.25,48.423,0.0,99.917,Seattle,0
20,20.6,78.001,1.6631,46905.0,83.023,5.26,4.25,92.533,0.0,99.909,Seattle,0
21,20.7,79.015,1.7412,39662.0,104.35,5.26,4.25,113.86,0.0,99.9,Seattle,0
22,0.14,81.0,2.6822,30714.0,3.0359,5.26,4.25,8.7055,-3.8403,99.874,Seattle,0
23,20.8,82.0,1.8731,26109.0,100.68,5.26,4.25,110.19,0.0,99.873,Seattle,0
24,0.15,83.002,2.2077,24874.0,2.4897,5.26,4.25,10.522,-1.4776,99.862,Seattle,0
25,20.9,84.006,1.7892,22382.0,91.942,5.26,4.25,101.45,0.0,99.861,Seattle,0
26,20.1,85.001,1.9595,21769.0,123.81,5.26,4.25,133.32,0.0,99.851,Seattle,0
27,20.11,86.168,3.1641,21385.0,211.04,5.26,4.25,220.55,0.0,99.832,Seattle,0
28,0.16,88.001,4.8488,20493.0,5.6292,5.26,4.25,0.0,-15.641,99.786,Seattle,0
29,0.17,90.477,2.5435,16459.0,2.8756,5.26,4.25,11.331,-1.0544,99.783,Seattle,0
30,20.12,93.285,1.2118,14940.0,68.835,5.26,4.25,78.345,0.0,99.779,Seattle,0
31,0.18,95.079,2.1443,15049.0,2.4171,5.26,4.25,8.5922,-3.3349,99.761,Seattle,0
32,0.19,99.629,0.069647,13936.0,0.077938,5.26,4.25,9.573,-0.014932,99.757,Seattle,0
33,0.2,104.84,0.0,14200.0,0.0,5.35,4.2501,9.6001,0.0,99.752,Seattle,0
34,0.21,110.4,0.0,14486.0,0.0,5.35,4.2501,9.6001,0.0,99.747,Seattle,0
35,0.22,116.0,0.0,14774.0,0.0,5.35,4.2501,9.6001,0.0,99.742,Seattle,0
36,20.13,120.5,0.21234,15006.0,11.682,5.26,4.25,21.192,0.0,99.738,Seattle,0
37,0.23,122.71,0.0,15066.0,0.0,5.35,4.2501,9.6001,0.0,99.735,Seattle,0
38,0.24,130.24,0.0,15450.0,0.0,5.35,4.2501,9.6001,0.0,99.728,Seattle,0
39,20.14,133.25,0.58131,15589.0,32.871,5.26,4.25,42.381,0.0,99.722,Seattle,0
40,0.25,135.17,1.4186,15619.0,1.5926,5.26,4.25,8.9452,-2.1574,99.71,Seattle,0
