,Degrees,Time,Speed,Energycons,EProp,E_Aux,HVAC,Power,Regen,SoC,city,weather_Winter
0,0.0,0.0,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
1,0.1,3.8897e-05,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
2,0.2,0.55586,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
3,0.3,5.5,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.995,Seattle,0
4,0.4,9.7022,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.991,Seattle,0
5,0.5,14.288,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.987,Seattle,0
6,0.6,20.0,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.982,Seattle,0
7,20.0,21.285,0.23581,567080.0,13.064,5.26,4.25,22.574,0.0,99.98,Seattle,0
8,20.1,23.013,1.6063,58377.0,105.69,5.26,4.25,115.2,0.0,99.971,Seattle,0
9,20.2,26.019,5.1158,24034.0,327.02,5.26,4.25,336.53,0.0,99.906,Seattle,0
10,0.7,26.964,6.1051,21731.0,98.3,5.26,4.25,107.81,0.0,99.876,Seattle,0
11,0.8,28.043,7.1299,16610.0,70.889,5.26,4.25,80.399,0.0,99.865,Seattle,0
12,0.9,30.672,8.3873,10129.0,59.089,5.26,4.25,68.599,0.0,99.847,Seattle,0
13,0.1,33.003,9.2046,7577.4,11.691,5.26,4.25,21.201,0.0,99.833,Seattle,0
14,0.11,38.5,7.7651,4657.9,9.5241,5.26,4.25,14.215,-4.8191,99.823,Seattle,0
15,0.12,48.5,3.2701,3357.5,3.7217,5.26,4.25,6.2005,-7.0312,99.808,Seattle,0
16,20.3,51.84,1.8043,3419.6,103.76,5.26,4.25,113.27,0.0,99.797,Seattle,0
17,20.4,54.034,3.5729,3883.2,223.75,5.26,4.25,233.26,0.0,99.762,Seattle,0
18,0.13,56.475,6.0027,4739.3,96.255,5.26,4.25,105.76,0.0,99.691,Seattle,0
19,0.14,57.008,6.5522,4741.0,45.005,5.26,4.25,54.515,0.0,99.685,Seattle,0
20,0.15,58.096,6.9048,4647.4,8.3136,5.26,4.25,13.033,-4.7911,99.68,Seattle,0
21,0.16,64.184,1.8385,4172.5,2.0684,5.26,4.25,7.2351,-4.3433,99.671,Seattle,0
22,0.17,69.0,0.0,4198.6,0.0,5.35,4.2501,9.6001,0.0,99.667,Seattle,0
23,0.18,74.5,0.0,4260.9,0.0,5.35,4.2501,9.6001,0.0,99.662,Seattle,0
24,20.5,80.157,0.041305,4325.1,2.1777,5.26,4.25,11.688,0.0,99.657,Seattle,0
25,20.6,83.075,2.2434,4502.2,141.89,5.26,4.25,151.4,0.0,99.639,Seattle,0
26,20.7,85.5,4.2983,4941.1,250.86,5.26,4.25,260.37,0.0,99.59,Seattle,0
27,0.19,87.001,4.8138,5231.9,5.5857,5.26,4.25,9.4466,-5.6491,99.554,Seattle,0
28,0.2,90.0,1.6719,5076.8,1.8793,5.26,4.25,8.1284,-3.2609,99.55,Seattle,0
29,0.21,97.5,0.0,5105.4,0.0,5.35,4.2501,9.6001,0.0,99.543,Seattle,0
30,0.22,103.64,0.0,5167.0,0.0,5.35,4.2501,9.6001,0.0,99.537,Seattle,0
31,20.8,108.5,0.50292,5225.4,29.913,5.26,4.25,39.423,0.0,99.532,Seattle,0
32,20.9,111.65,4.446,5629.3,299.46,5.26,4.25,308.97,0.0,99.481,Seattle,0
33,0.23,112.99,6.028,5952.0,105.89,5.26,4.25,115.4,0.0,99.437,Seattle,0
34,0.24,114.11,7.1714,5920.6,101.02,5.26,4.25,110.53,0.0,99.426,Seattle,0
35,0.25,116.0,7.975,5745.8,9.8286,5.26,4.25,6.8413,-12.497,99.414,Seattle,0
36,0.26,119.93,3.9416,5385.9,4.5199,5.26,4.25,6.8388,-7.1912,99.408,Seattle,0
37,0.27,127.26,0.0,5287.7,0.0,5.35,4.2501,9.6001,0.0,99.4,Seattle,0
38,0.28,133.19,0.0,5334.6,0.0,5.35,4.2501,9.6001,0.0,99.395,Seattle,0
39,20.1,139.09,0.0079703,5381.4,0.39988,5.26,4.25,9.9099,0.0,99.39,Seattle,0
40,20.11,142.29,1.8182,5472.4,120.09,5.26,4.25,129.6,0.0,99.376,Seattle,0
