,Degrees,Time,Speed,Energycons,EProp,E_Aux,HVAC,Power,Regen,SoC,city,weather_Winter
0,0.0,0.0,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
1,0.1,3.8897e-05,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
2,0.2,0.55586,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,100.0,Seattle,0
3,0.3,5.5,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.995,Seattle,0
4,0.4,9.7022,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.991,Seattle,0
5,0.5,14.288,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.987,Seattle,0
6,0.6,20.0,0.0,0.0,0.0,5.35,4.2501,9.6001,0.0,99.982,Seattle,0
7,20.0,21.777,2.349,46357.0,158.45,5.26,4.25,167.96,0.0,99.967,Seattle,0
8,20.1,24.013,5.1575,24739.0,344.81,5.26,4.25,354.32,0.0,99.913,Seattle,0
9,0.7,24.763,6.0965,22677.0,116.04,5.26,4.25,125.55,0.0,99.888,Seattle,0
10,0.8,26.026,7.5597,16228.0,28.505,5.26,4.25,38.015,0.0,99.872,Seattle,0
11,0.9,28.001,8.0928,10485.0,144.12,5.26,4.25,153.63,0.0,99.863,Seattle,0
12,0.1,29.02,9.2627,9499.3,70.825,5.26,4.25,80.335,0.0,99.847,Seattle,0
13,0.11,31.001,10.014,7383.8,19.379,5.26,4.25,28.889,0.0,99.834,Seattle,0
14,0.12,32.087,10.043,6459.5,13.044,5.26,4.25,20.826,-1.7285,99.831,Seattle,0
15,0.13,37.411,8.3369,4179.9,10.362,5.26,4.25,0.82404,-19.048,99.82,Seattle,0
16,0.14,40.433,6.719,3695.0,20.908,5.26,4.25,30.418,0.0,99.814,Seattle,0
17,0.15,43.015,7.16,3449.2,58.87,5.26,4.25,68.38,0.0,99.806,Seattle,0
18,0.16,45.5,8.9855,3468.2,125.9,5.26,4.25,135.41,0.0,99.782,Seattle,0
19,0.17,47.004,10.148,3483.6,26.157,5.26,4.25,35.667,0.0,99.764,Seattle,0
20,0.18,48.046,10.233,3357.1,13.362,5.26,4.25,22.915,0.04348,99.76,Seattle,0
21,0.19,53.719,7.2266,2821.7,8.7597,5.26,4.25,11.235,-7.0346,99.749,Seattle,0
22,0.2,56.011,7.923,2786.9,115.81,5.26,4.25,125.32,0.0,99.737,Seattle,0
23,0.21,58.003,9.6581,2863.6,110.92,5.26,4.25,120.43,0.0,99.712,Seattle,0
24,0.22,60.0,10.818,2866.4,83.322,5.26,4.25,92.832,0.0,99.692,Seattle,0
25,0.23,61.184,11.022,2805.0,35.798,5.26,4.25,45.308,0.0,99.686,Seattle,0
26,0.24,63.014,11.173,2697.3,14.99,5.26,4.25,22.643,-1.8574,99.68,Seattle,0
27,0.25,65.234,10.973,2564.2,28.625,5.26,4.25,38.135,0.0,99.675,Seattle,0
28,0.26,67.132,11.081,2473.8,14.825,5.26,4.25,25.403,1.0681,99.669,Seattle,0
29,0.27,70.123,11.025,2333.9,49.863,5.26,4.25,59.373,0.0,99.661,Seattle,0
30,0.28,73.0,11.489,2257.3,15.56,5.26,4.25,24.173,-0.89672,99.648,Seattle,0
31,0.29,75.013,11.132,2179.9,22.012,5.26,4.25,31.522,0.0,99.643,Seattle,0
32,0.3,77.0,11.355,2130.6,58.744,5.26,4.25,68.254,0.0,99.635,Seattle,0
33,0.31,78.021,11.623,2119.7,15.806,5.26,4.25,25.316,0.0,99.629,Seattle,0
34,0.32,80.037,11.496,2055.1,44.883,5.26,4.25,54.393,0.0,99.624,Seattle,0
35,0.33,82.009,11.939,2032.4,77.277,5.26,4.25,86.787,0.0,99.612,Seattle,0
36,0.34,84.0,12.785,2043.0,75.082,5.26,4.25,84.592,0.0,99.593,Seattle,0
37,0.35,85.025,13.104,2038.3,60.439,5.26,4.25,69.949,0.0,99.585,Seattle,0
38,0.36,87.595,13.536,1996.6,45.452,5.26,4.25,54.962,0.0,99.571,Seattle,0
39,0.37,90.624,13.668,1926.3,19.848,5.26,4.25,29.691,0.33339,99.559,Seattle,0
40,0.38,94.004,13.591,1845.6,54.336,5.26,4.25,63.846,0.0,99.549,Seattle,0
41,0.39,95.029,13.764,1834.9,20.051,5.26,4.25,27.491,-2.0698,99.543,Seattle,0
